feature,importance,perm_importance_mean,perm_importance_std
thread_id,0.31989363706402063,0.014104405021075562,0.00018556881397016788
tweet_id,0.2690451332070174,0.01371531798601141,0.0001713835749687096
reaction_index,0.07506404731331728,0.002848672935291119,0.0004419849166877599
culture_score,0.05327414123944672,0.0020704988651628177,0.00028102851104020994
avg_word_length,0.04961479280380295,0.0019222752327574199,0.00042516002942899543
sentiment_polarity,0.033033873573149866,0.0017833155773773646,0.00022044567204206349
flesch_reading_ease,0.04858701827776494,0.0014915003010792626,0.00020380749455740745
long_words_ratio,0.03657217104516372,0.0014637083700032583,0.0001808256176380789
formal_language_score,0.03794173166084747,0.0013942285423132138,0.0002632094612103282
sentiment_subjectivity,0.02907190787393203,0.0012506368984204874,0.00021023309496336626
stance_score,0.01657929960139008,0.0009402936680717233,0.00012944729827675926
vocabulary_richness,0.015606450857677938,0.000291815276298113,0.00021231491289759016
type_token_ratio,0.015715795482468986,0.00024086340265875306,0.00017674541690988874
