,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_subjectivity,sentiment_subjectivity,sentiment_category
,mean,std,min,max,mean,std,<lambda>
thread_id,,,,,,,
498235547685756928,0.05681481481481481,0.3461949544722708,-0.5,1.0,0.37307407407407406,0.36373811650901877,"{'neutral': 7, 'positive': 5, 'negative': 3}"
498248415223246848,-0.08323045267489712,0.18842086543624492,-0.5,0.3,0.22136488340192043,0.3204923073289815,"{'negative': 12, 'neutral': 11, 'positive': 4}"
498248648699150336,0.061784147869674184,0.24548040840365204,-0.7142857142857143,0.6000000000000001,0.39394876079086605,0.31820736269629457,"{'positive': 27, 'neutral': 21, 'negative': 9}"
498250100079341568,0.027619047619047616,0.06175806794999418,0.0,0.13809523809523808,0.16190476190476188,0.3620300534999659,"{'neutral': 4, 'positive': 1}"
498251940997136384,0.07539682539682539,0.13009459317974428,-0.1,0.2333333333333333,0.27949735449735447,0.23743791539775264,"{'positive': 4, 'neutral': 4, 'negative': 1}"
498253149707464704,-0.6,0.0,-0.6,-0.6,1.0,0.0,{'negative': 4}
498253652755111937,0.06757936507936507,0.12861483933024045,-0.15000000000000002,0.21785714285714283,0.2598015873015873,0.27848857470888505,"{'neutral': 5, 'positive': 4, 'negative': 1}"
498254340310966273,-0.03253246753246753,0.1990681687384152,-0.6,0.5,0.28516955266955263,0.2801632684727369,"{'neutral': 21, 'negative': 13, 'positive': 10}"
498254540870017025,-0.2148809523809524,0.5029716117007705,-1.0,0.2857142857142857,0.5920634920634921,0.3198972931359481,"{'negative': 4, 'positive': 2}"
498254929942028288,-0.045389266817838246,0.2762244401949693,-0.7142857142857143,0.5,0.3693877551020408,0.3443667686745963,"{'neutral': 10, 'negative': 7, 'positive': 4}"
498255721260400640,0.275,0.26299556396765833,0.0,0.5,0.3625,0.24281337140555775,"{'positive': 3, 'neutral': 1}"
498255816034893824,0.018523242630385486,0.30072581973201623,-0.9,0.8,0.3503188775510204,0.3393571144557071,"{'neutral': 13, 'positive': 8, 'negative': 7}"
498256407980826625,-0.06849999999999999,0.2977242052318763,-0.54,0.5,0.4106666666666667,0.3339403995867982,"{'negative': 7, 'neutral': 5, 'positive': 3}"
498259432237969408,0.10173160173160173,0.21807519898864075,0.0,0.7,0.19112554112554114,0.3255173640816987,"{'neutral': 8, 'positive': 3}"
498259903962570752,-0.09598039215686276,0.20575530173064482,-0.55,0.3,0.34133986928104576,0.3664007378898362,"{'neutral': 10, 'negative': 6, 'positive': 1}"
498262106937237504,0.10288961038961038,0.17511423473388457,0.0,0.7,0.20482142857142857,0.19742663391430382,"{'neutral': 13, 'positive': 7}"
498263598062661633,0.03520833333333333,0.13756469437646016,-0.1,0.35,0.3677083333333333,0.35860676744507686,"{'neutral': 6, 'positive': 3, 'negative': 1}"
498264107460870144,0.022262977262977265,0.19083229599202334,-0.5,0.6,0.2711145623645624,0.28570091743008913,"{'neutral': 56, 'positive': 28, 'negative': 27}"
498264393185239040,-0.009940476190476204,0.39020278859214547,-1.0,0.7,0.443531746031746,0.32373764753820444,"{'positive': 12, 'negative': 6, 'neutral': 2}"
498265095559184384,0.030701754385964907,0.16770630908782846,-0.25,0.5,0.17083333333333334,0.22825576541337228,"{'neutral': 12, 'positive': 4, 'negative': 3}"
498265555833720832,0.0,,0.0,0.0,0.1,,{'neutral': 1}
498267196833808384,-0.10656001984126984,0.2347600117257487,-0.5333333333333333,0.2125,0.4461483134920635,0.22122240381631975,"{'negative': 8, 'positive': 4, 'neutral': 4}"
498267673789472768,-0.06073214285714286,0.21772708045973735,-0.7,0.25,0.28189285714285717,0.3546959996225327,"{'neutral': 11, 'negative': 5, 'positive': 4}"
498268463639851008,-0.03571428571428571,0.10293317295817755,-0.2,0.1,0.24642857142857144,0.2721169216487998,"{'neutral': 4, 'negative': 2, 'positive': 1}"
498269289812856832,-0.10625000000000001,0.495132558008459,-0.8,0.375,0.34375,0.47186465220442186,"{'neutral': 2, 'negative': 1, 'positive': 1}"
498269365175721984,-0.5,,-0.5,-0.5,1.0,,{'negative': 1}
498269636551798784,0.0,,0.0,0.0,0.0,,{'neutral': 1}
498269697453084672,-0.014778261511216063,0.32261794680163075,-0.75,1.0,0.2796856962481962,0.32095939101806753,"{'neutral': 25, 'negative': 11, 'positive': 8}"
498271531386953728,-0.09166666666666665,,-0.09166666666666665,-0.09166666666666665,0.5083333333333333,,{'negative': 1}
498271954185379840,-0.08055555555555556,0.3961665040753031,-0.6428571428571429,0.45,0.5037037037037037,0.40922237852962434,"{'positive': 3, 'neutral': 3, 'negative': 3}"
498272080564334592,-0.0520734126984127,0.2098307073260762,-0.7142857142857143,0.1,0.23270337301587302,0.2752106783924994,"{'neutral': 11, 'positive': 3, 'negative': 2}"
498272309535191041,0.022727272727272728,0.34304783657941673,-0.5,0.65,0.39444444444444443,0.46272808856888864,"{'neutral': 6, 'positive': 3, 'negative': 2}"
498272364560257025,0.04972222222222222,0.16666898146540657,-0.24999999999999992,0.35,0.2552777777777778,0.34185217788195205,"{'neutral': 6, 'positive': 3, 'negative': 1}"
498273703428620289,-0.15714285714285717,0.2620886800120833,-0.65,0.2,0.24285714285714285,0.38234863173611094,"{'negative': 5, 'neutral': 1, 'positive': 1}"
498274493337702401,-0.014285714285714282,0.349659698509715,-0.5,0.65,0.37857142857142856,0.48636161346021034,"{'neutral': 4, 'negative': 2, 'positive': 1}"
498274692873351170,0.061194444444444454,0.1979134394935416,-0.5,0.5,0.39461111111111113,0.24839655382717443,"{'neutral': 13, 'positive': 5, 'negative': 2}"
498274934553317376,0.012962962962962963,0.1052535885432633,-0.2,0.2,0.26296296296296295,0.3859312130866949,"{'neutral': 6, 'positive': 2, 'negative': 1}"
498274948772024321,-0.08167989417989419,0.2012019971697946,-0.5,0.2,0.3294973544973545,0.41599738224573424,"{'neutral': 7, 'negative': 5, 'positive': 2}"
498275621651636224,0.0642857142857143,0.0944911182523068,0.0,0.25,0.06349206349206349,0.1679842102263232,"{'neutral': 4, 'positive': 3}"
498276304635322368,-0.1394736842105263,0.16714842652932174,-0.5,0.2,0.20789473684210527,0.3258591881876523,"{'negative': 13, 'neutral': 3, 'positive': 3}"
498276354434277376,-0.021740362811791387,0.14925944832409158,-0.4,0.25,0.38044217687074827,0.2892326958895532,"{'neutral': 7, 'negative': 4, 'positive': 3}"
498276771226451968,-0.052681405895691605,0.31006747205133867,-1.0,0.5,0.35701814058956916,0.3699778039123794,"{'neutral': 21, 'negative': 8, 'positive': 6}"
498277197581664256,-0.06666666666666667,0.09128709291752768,-0.16666666666666666,0.0,0.17333333333333334,0.23734644158557197,"{'neutral': 3, 'negative': 2}"
498277231253127168,-0.05069444444444446,0.2581029936862303,-0.225,0.3333333333333333,0.4111111111111111,0.15126353967897876,"{'negative': 3, 'positive': 1}"
498277674692149248,0.025148809523809535,0.16613366650710484,-0.3499999999999999,0.4,0.2992559523809524,0.33725831381833576,"{'neutral': 11, 'positive': 5, 'negative': 4}"
498277678706077696,-0.2,0.31622776601683794,-0.8,0.0,0.44722222222222224,0.44307950126861484,"{'neutral': 6, 'negative': 3}"
498278882244853760,0.002283486494012804,0.2508227522780588,-0.4,0.7,0.2890281258702312,0.3106149664286433,"{'neutral': 9, 'negative': 6, 'positive': 4}"
498279420885360641,-0.020833333333333336,0.17143187827498388,-0.4,0.25,0.190625,0.22819490937938705,"{'neutral': 12, 'negative': 2, 'positive': 2}"
498280074941313024,0.12814625850340136,0.4635844717408699,-0.5,0.6,0.7442176870748299,0.3582723070505899,"{'positive': 3, 'negative': 3, 'neutral': 1}"
498280126254428160,-0.03194444444444444,0.2522353765536967,-0.5,0.25,0.4138888888888889,0.47168924170553306,"{'neutral': 3, 'positive': 2, 'negative': 1}"
498280730070622209,-0.029835390946502054,0.14546306446835122,-0.4,0.1314814814814815,0.24588477366255143,0.3689507257243142,"{'neutral': 7, 'positive': 1, 'negative': 1}"
498281104865259521,-0.03333333333333334,0.07071067811865477,-0.2,0.0,0.1388888888888889,0.2891558595482912,"{'neutral': 7, 'negative': 2}"
498281812821803008,-0.191,0.3716763825336946,-0.9099999999999999,0.5,0.42000000000000004,0.36757463338907254,"{'negative': 6, 'neutral': 3, 'positive': 1}"
498281886603411456,-0.051662489557226396,0.23897212958675693,-0.5,0.5928571428571429,0.2737761069340017,0.3567892616286769,"{'neutral': 10, 'negative': 7, 'positive': 2}"
498283038338711552,-0.042417561862006306,0.16008376327296858,-0.6999999999999998,0.1,0.23165417401528512,0.3584845753858331,"{'neutral': 20, 'negative': 4, 'positive': 3}"
498283233982025728,-0.07435897435897436,0.14403500484633108,-0.5,0.1,0.41659544159544154,0.323988185606804,"{'negative': 7, 'neutral': 5, 'positive': 1}"
498283586425200640,0.07227777777777779,0.27652829509058385,-0.6266666666666667,0.5,0.3647222222222222,0.3663576360319004,"{'positive': 10, 'neutral': 7, 'negative': 3}"
498284302128668672,-0.04642857142857143,0.19724704279580474,-0.5,0.5,0.2542063492063492,0.34836763457350933,"{'neutral': 21, 'negative': 8, 'positive': 6}"
498284334806495233,-0.10402380952380952,0.3328603957876338,-0.43333333333333335,0.5428571428571429,0.47976785714285713,0.26478418433185896,"{'negative': 10, 'positive': 7, 'neutral': 3}"
498284429333524480,0.02447402597402597,0.2128511922377824,-0.8,0.5,0.3032640692640693,0.2797219887314175,"{'neutral': 31, 'positive': 17, 'negative': 12}"
498285405142540289,0.06239153439153438,0.2122156685794172,-0.6071428571428572,0.6,0.34732363315696646,0.2915592273913728,"{'positive': 23, 'neutral': 14, 'negative': 8}"
498285529704976385,-0.05,0.1,-0.2,0.0,0.45,0.5259911279353168,"{'neutral': 3, 'negative': 1}"
498285556502372352,-0.029166666666666664,0.1779187808877764,-0.5,0.20833333333333334,0.13125,0.3206574193053321,"{'neutral': 8, 'negative': 1, 'positive': 1}"
498285782512050176,-0.5349999999999999,0.5060879370228063,-1.0,0.0,0.5900000000000001,0.5389805191284746,"{'negative': 3, 'neutral': 2}"
498286045843435521,-0.04791666666666666,0.3114784891551088,-0.5,0.48333333333333334,0.3666666666666667,0.3346402949199737,"{'negative': 4, 'neutral': 2, 'positive': 2}"
